,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.67,1.53,2.51,3.68,9.57,8.43,14.4,18.85,6.39,36.64,1489.91,36172.79,248.48,891.08,2278.99
identified_templates,419,336,31,74,286,160,2102,342,870,46,512,1443,310,40,497.929
ground_templates,11,338,29,89,236,156,48,74,626,38,236,1241,320,46,249.143
GA,0.801,0.809,0.993,0.994,0.916,0.977,0.375,0.787,0.64,0.413,0.722,0.717,0.896,0.961,0.786
PA,0,0.055,0.25,0.48,0.162,0.163,0,0.64,0.076,0,0.343,0.088,0.338,0,0.185
FGA,0.037,0.804,0.9,0.859,0.797,0.88,0.029,0.24,0.632,0.714,0.524,0.758,0.692,0.721,0.613
PTA,0,0.107,0.161,0.351,0.22,0.25,0,0.076,0.061,0.022,0.143,0.102,0.129,0,0.116
RTA,0,0.107,0.172,0.292,0.267,0.256,0,0.351,0.085,0.026,0.309,0.118,0.125,0,0.151
FTA,0,0.107,0.167,0.319,0.241,0.253,0,0.125,0.071,0.024,0.195,0.11,0.127,0,0.124